色彩空间	光源	适应算法	基色	归一化值x	归一化值y	归一化值z	相对值X	相对值Y	相对值Z	刺激值X	刺激值Y	刺激值Z
CIE RGB	F10 - CIE1931	XYZScaling	绿色	0.2667513	0.72580451	0.00744419	0.367525	1.0	0.01025647	0.29879231	0.812985	0.00833836	
CIE RGB	F10 - CIE1931	XYZScaling	蓝色	0.19054445	0.01067743	0.79877811	17.84552943	1.0	74.80993572	0.19292802	0.010811	0.80877022	
CIE RGB	F10 - CIE1964	XYZScaling	红色	0.73304028	0.26695972	0.0	2.74588349	1.0	0.0	0.48383565	0.176204	0.0	
CIE RGB	F10 - CIE1964	XYZScaling	绿色	0.2724225	0.7200637	0.0075138	0.3783311	1.0	0.01043491	0.30757751	0.812985	0.00848343	
CIE RGB	F10 - CIE1964	XYZScaling	蓝色	0.19239529	0.01047321	0.7971315	18.37023035	1.0	76.11147355	0.19860056	0.010811	0.82284114	
CIE RGB	F10 - CIE1931	VonKries	红色	0.73490953	0.26509047	0.0	2.77229703	1.0	0.0	0.48837411	0.17616226	0.0	
CIE RGB	F10 - CIE1931	VonKries	绿色	0.27357223	0.71905318	0.00737459	0.38046176	1.0	0.01025597	0.30932482	0.81302475	0.00833836	
CIE RGB	F10 - CIE1931	VonKries	蓝色	0.16676966	0.01099302	0.82223732	15.17050819	1.0	74.79632717	0.1640382	0.01081297	0.8087702	
CIE RGB	F10 - CIE1964	VonKries	红色	0.73661688	0.26338312	0.0	2.79675055	1.0	0.0	0.49489713	0.17695433	0.0	
CIE RGB	F10 - CIE1964	VonKries	绿色	0.28553759	0.70707745	0.00738496	0.40382789	1.0	0.01044434	0.32800949	0.81225071	0.00848343	
CIE RGB	F10 - CIE1964	VonKries	蓝色	0.16698358	0.01078692	0.8222295	15.48019026	1.0	76.22467626	0.16710779	0.01079494	0.82284112	
CIE RGB	F11 - CIE1931	Bradford	红色	0.73448227	0.26932265	-0.00380492	2.72714634	1.0	-0.01412772	0.51954269	0.19050781	-0.00269144	
CIE RGB	F11 - CIE1931	Bradford	绿色	0.29380958	0.68863799	0.01755243	0.42665317	1.0	0.02548862	0.34799868	0.81564771	0.02078974	
CIE RGB	F11 - CIE1931	Bradford	蓝色	0.18616722	-0.00810081	0.82193359	-22.98130235	1.0	-101.46310406	0.14145023	-0.00615501	0.6245068	
CIE RGB	F11 - CIE1964	Bradford	红色	0.73273341	0.27090795	-0.00364136	2.70473207	1.0	-0.01344132	0.53085503	0.19626899	-0.00263811	
CIE RGB	F11 - CIE1964	Bradford	绿色	0.30518654	0.67865945	0.016154	0.44969025	1.0	0.02380281	0.36328535	0.80785684	0.01922926	
CIE RGB	F11 - CIE1964	Bradford	蓝色	0.18495701	-0.0052964	0.82033939	-34.92126139	1.0	-154.88618785	0.14405968	-0.00412527	0.63894754	
CIE RGB	F11 - CIE1931	XYZScaling	红色	0.73673933	0.26326067	0.0	2.7985165	1.0	0.0	0.4931098	0.176204	0.0	
CIE RGB	F11 - CIE1931	XYZScaling	绿色	0.27667148	0.71754078	0.00578774	0.38558294	1.0	0.00806608	0.31347315	0.812985	0.0065576	
CIE RGB	F11 - CIE1931	XYZScaling	蓝色	0.23833215	0.01272982	0.74893803	18.72235038	1.0	58.8333552	0.20240733	0.010811	0.6360474	
CIE RGB	F11 - CIE1964	XYZScaling	红色	0.74223672	0.25776328	0.0	2.87952848	1.0	0.0	0.50738444	0.176204	0.0	
CIE RGB	F11 - CIE1964	XYZScaling	绿色	0.28238606	0.7117573	0.00585664	0.39674487	1.0	0.00822842	0.32254763	0.812985	0.00668958	
CIE RGB	F11 - CIE1964	XYZScaling	蓝色	0.23995881	0.01245612	0.74758507	19.26432849	1.0	60.01748669	0.20826666	0.010811	0.64884905	
CIE RGB	F11 - CIE1931	VonKries	红色	0.74032056	0.25967944	0.0	2.85090168	1.0	0.0	0.50955223	0.17873371	0.0	
CIE RGB	F11 - CIE1931	VonKries	绿色	0.31142236	0.68305128	0.00552636	0.45592823	1.0	0.0080907	0.36953466	0.81051058	0.0065576	
CIE RGB	F11 - CIE1931	VonKries	蓝色	0.16725052	0.01384783	0.81890165	12.07773991	1.0	59.13572783	0.1299048	0.01075572	0.63604739	
CIE RGB	F11 - CIE1964	VonKries	红色	0.74198647	0.25801353	0.0	2.87576574	1.0	0.0	0.51638078	0.17956288	0.0	
CIE RGB	F11 - CIE1964	VonKries	绿色	0.32276801	0.67168269	0.00554931	0.48053644	1.0	0.0082618	0.38909049	0.80970028	0.00668958	
CIE RGB	F11 - CIE1964	VonKries	蓝色	0.16752031	0.01355126	0.81892843	12.3619697	1.0	60.43188659	0.13272881	0.01073687	0.64884903	
CIE RGB	F12 - CIE1931	Bradford	红色	0.7305443	0.27546112	-0.00600542	2.65207773	1.0	-0.02180132	0.56856097	0.21438322	-0.00467384	
CIE RGB	F12 - CIE1931	Bradford	绿色	0.33213975	0.64716063	0.02069962	0.51322614	1.0	0.03198528	0.41085379	0.80053169	0.02560523	
CIE RGB	F12 - CIE1931	Bradford	蓝色	0.22089071	-0.03260052	0.81170981	-6.77568001	1.0	-24.8986749	0.10105195	-0.01491392	0.37133683	
CIE RGB	F12 - CIE1964	Bradford	红色	0.72880723	0.27700375	-0.00581098	2.63103744	1.0	-0.02097797	0.58194121	0.22118317	-0.00463997	
