数据集,时间,确认,治愈,死亡,新增确诊,新增治愈,新增死亡,治愈/确认（千分比）,死亡/确认（千分比）,确认/人口（千分比）,死亡/人口（千分比）,治愈/人口（千分比）,确认/平方公里（千分比）,治愈/平方公里（千分比）,死亡/平方公里（千分比）,数据源,级别,洲,国家,省,市,区县,乡镇,村庄,建筑物,经度,纬度
COVID-19_Baidu,2020-06-17 23:59:00,299,241,27,0,0,0,806.02,90.3,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,日本,,石川,,,,,,
COVID-19_Baidu,2020-06-17 23:59:00,274,272,2,0,0,0,992.7,7.3,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,亚洲,中国,河南,信阳,,,,,114.091023,32.146983
COVID-19_Baidu,2020-06-17 23:59:00,264,260,4,0,0,0,984.85,15.15,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,亚洲,中国,黑龙江,哈尔滨,,,,,126.534967,45.803775
COVID-19_Baidu,2020-06-17 23:59:00,260,260,0,0,0,0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,亚洲,中国,山东,济宁,,,,,116.587098,35.414921
COVID-19_Baidu,2020-06-17 23:59:00,254,252,2,0,0,0,992.13,7.87,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,省,亚洲,中国,广西,,,,,,108.327546,22.815478
COVID-19_Baidu,2020-06-17 23:59:00,252,245,7,0,0,0,972.22,27.78,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,亚洲,中国,湖北,恩施州,,,,,109.488172,30.272156
COVID-19_Baidu,2020-06-17 23:59:00,242,240,2,0,0,0,991.74,8.26,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,亚洲,中国,湖南,长沙,,,,,112.938814,28.228209
COVID-19_Baidu,2020-06-17 23:59:00,238,234,1,0,0,0,983.19,4.2,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,省,亚洲,中国,内蒙古,,,,,,111.765617,40.817498
COVID-19_Baidu,2020-06-17 23:59:00,233,206,0,0,0,0,884.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,中国,广东,境外输入,,,,,,
COVID-19_Baidu,2020-06-17 23:59:00,230,230,0,0,0,0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,亚洲,中国,江西,南昌,,,,,115.858197,28.682892
COVID-19_Baidu,2020-06-17 23:59:00,227,202,22,0,0,0,889.87,96.92,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,日本,,富山,,,,,,
COVID-19_Baidu,2020-06-17 23:59:00,198,189,9,0,0,0,954.55,45.45,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,县,亚洲,中国,湖北,省直辖县级行政区划,潜江市,,,,112.896866,30.421215
COVID-19_Baidu,2020-06-17 23:59:00,198,198,0,0,0,0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,省,亚洲,中国,山西,,,,,,112.562398,37.873531
COVID-19_Baidu,2020-06-17 23:59:00,196,189,3,0,0,0,964.29,15.31,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,省,亚洲,中国,天津,,,,,,117.200983,39.084158
COVID-19_Baidu,2020-06-17 23:59:00,185,183,2,0,0,0,989.19,10.81,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,省,亚洲,中国,云南,,,,,,102.710002,25.045806
COVID-19_Baidu,2020-06-17 23:59:00,181,181,0,0,0,0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,亚洲,中国,浙江,杭州,,,,,120.15507,30.274084
COVID-19_Baidu,2020-06-17 23:59:00,174,173,0,0,0,0,994.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,中国,北京,境外输入,,,,,,
COVID-19_Baidu,2020-06-17 23:59:00,174,173,1,0,0,0,994.25,5.75,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,亚洲,中国,安徽,合肥,,,,,117.227239,31.820586
COVID-19_Baidu,2020-06-17 23:59:00,171,163,6,0,0,0,953.22,35.09,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,省,亚洲,中国,海南,,,,,,110.349228,20.017377
COVID-19_Baidu,2020-06-17 23:59:00,168,155,10,0,0,0,922.62,59.52,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,日本,,茨城,,,,,,
COVID-19_Baidu,2020-06-17 23:59:00,168,165,3,0,0,0,982.14,17.86,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,日本,,广岛,,,,,,
COVID-19_Baidu,2020-06-17 23:59:00,161,158,0,0,0,0,981.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,中国,内蒙古,境外输入,,,,,,
COVID-19_Baidu,2020-06-17 23:59:00,160,155,5,0,0,0,968.75,31.25,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,亚洲,中国,安徽,蚌埠,,,,,117.389719,32.916287
COVID-19_Baidu,2020-06-17 23:59:00,157,152,5,0,0,0,968.15,31.85,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,亚洲,中国,河南,郑州,,,,,113.625368,34.746599
COVID-19_Baidu,2020-06-17 23:59:00,157,157,0,0,0,0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,亚洲,中国,浙江,宁波,,,,,121.550357,29.874556
COVID-19_Baidu,2020-06-17 23:59:00,156,155,1,0,0,0,993.59,6.41,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,亚洲,中国,湖南,岳阳,,,,,113.128958,29.357104
COVID-19_Baidu,2020-06-17 23:59:00,156,153,3,0,0,0,980.77,19.23,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,亚洲,中国,河南,南阳,,,,,112.528321,32.990833
COVID-19_Baidu,2020-06-17 23:59:00,155,155,0,0,0,0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,亚洲,中国,安徽,阜阳,,,,,115.814204,32.890124
COVID-19_Baidu,2020-06-17 23:59:00,155,153,2,0,0,0,987.1,12.9,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,省,亚洲,中国,吉林,,,,,,125.32599,43.896536
COVID-19_Baidu,2020-06-17 23:59:00,154,143,7,0,0,0,928.57,45.45,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,日本,,岐阜,,,,,,
COVID-19_Baidu,2020-06-17 23:59:00,153,144,0,0,0,0,941.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,韩国,,忠清南道,,,,,,
COVID-19_Baidu,2020-06-17 23:59:00,152,147,2,0,0,0,967.11,13.16,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,省,亚洲,中国,辽宁,,,,,,123.42944,41.835441
COVID-19_Baidu,2020-06-17 23:59:00,151,128,19,0,0,0,847.68,125.83,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,日本,,群马,,,,,,
COVID-19_Baidu,2020-06-17 23:59:00,149,137,2,0,0,0,919.46,13.42,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,省,亚洲,中国,甘肃,,,,,,103.826308,36.059421
COVID-19_Baidu,2020-06-17 23:59:00,148,142,3,0,0,0,959.46,20.27,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,韩国,,釜山,,,,,,
COVID-19_Baidu,2020-06-17 23:59:00,147,146,0,0,0,0,993.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,亚洲,中国,浙江,台州,,,,,121.420757,28.656386
COVID-19_Baidu,2020-06-17 23:59:00,147,145,2,0,0,0,986.39,13.61,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,省,亚洲,中国,贵州,,,,,,106.70741,26.598194
COVID-19_Baidu,2020-06-17 23:59:00,145,142,3,0,0,0,979.31,20.69,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,亚洲,中国,四川,成都,,,,,104.066541,30.572269
COVID-19_Baidu,2020-06-17 23:59:00,142,136,6,0,0,0,957.75,42.25,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,日本,,冲绳,,,,,,
COVID-19_Baidu,2020-06-17 23:59:00,142,3,0,0,0,0,21.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,县,亚洲,中国,北京,市辖区,丰台区,,,,116.287149,39.858427
COVID-19_Baidu,2020-06-17 23:59:00,139,139,0,0,0,0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,亚洲,中国,河南,驻马店,,,,,114.022298,33.011529
COVID-19_Baidu,2020-06-17 23:59:00,132,124,0,0,0,0,939.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,韩国,,庆尚南道,,,,,,
COVID-19_Baidu,2020-06-17 23:59:00,129,129,0,0,0,0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,亚洲,中国,江西,新余,,,,,114.917346,27.817808
