数据集,时间,确认,治愈,死亡,治愈/确认（千分比）,死亡/确认（千分比）,确认/人口（千分比）,死亡/人口（千分比）,治愈/人口（千分比）,确认/面积（千分比）,治愈/面积（千分比）,死亡/面积（千分比）,数据源,级别,洲,国家,省,市,区县,乡镇,村庄,建筑物,经度,纬度
COVID-19_Baidu,2020-05-27 23:59:00,8344,2385,249,285.83,29.84,0.05,0.0,0.02,9.03,2.58,0.27,输入的数据,国家,非洲,尼日利亚,,,,,,,8.675277,9.081999
COVID-19_Baidu,2020-05-27 23:59:00,8334,1080,440,129.59,52.8,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,美国,,华盛顿哥伦比亚特区,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,7998,5852,396,731.68,49.51,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,美国,,内华达州,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,7774,3255,98,418.7,12.61,2.62,0.03,1.1,260.87,109.23,3.29,输入的数据,国家,亚洲,亚美尼亚,,,,,,,45.038189,40.069099
COVID-19_Baidu,2020-05-27 23:59:00,7661,3430,693,447.72,90.46,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,意大利,,拉齐奥,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,7619,6083,115,798.4,15.09,0.27,0.0,0.22,23.11,18.45,0.35,输入的数据,国家,亚洲,马来西亚,,,,,,,101.975766,4.210484
COVID-19_Baidu,2020-05-27 23:59:00,7584,4969,202,655.2,26.64,0.22,0.01,0.15,16.98,11.13,0.45,输入的数据,国家,非洲,摩洛哥,,,,,,,-7.09262,31.791702
COVID-19_Baidu,2020-05-27 23:59:00,7305,3884,267,531.69,36.55,1.69,0.06,0.9,215.85,114.77,7.89,输入的数据,国家,欧洲,摩尔多瓦,,,,,,,28.369885,47.411631
COVID-19_Baidu,2020-05-27 23:59:00,7139,6566,103,919.74,14.43,0.33,0.0,0.31,0.93,0.85,0.01,输入的数据,国家,大洋洲,澳大利亚,,,,,,,133.775136,-25.274398
COVID-19_Baidu,2020-05-27 23:59:00,7136,677,274,94.87,38.4,0.72,0.03,0.07,6.5,0.62,0.25,输入的数据,国家,南美洲,玻利维亚,,,,,,,-63.588653,-16.290154
COVID-19_Baidu,2020-05-27 23:59:00,7130,2564,325,359.61,45.58,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,美国,,新墨西哥州,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,7117,2317,34,325.56,4.78,0.29,0.0,0.1,29.72,9.68,0.14,输入的数据,国家,非洲,加纳,,,,,,,-1.023194,7.946527
COVID-19_Baidu,2020-05-27 23:59:00,6878,6557,184,953.33,26.75,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,韩国,,大邱,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,6718,4147,996,617.3,148.26,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,意大利,,马尔凯,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,6692,5100,312,762.1,46.62,1.28,0.06,0.97,19.86,15.13,0.93,输入的数据,国家,欧洲,芬兰,,,,,,,25.748151,61.92411
COVID-19_Baidu,2020-05-27 23:59:00,6180,4332,119,700.97,19.26,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,美国,,阿肯色州,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,6137,4825,318,786.21,51.82,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,美国,,俄克拉何马州,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,5436,1996,175,367.18,32.19,0.28,0.01,0.1,11.43,4.2,0.37,输入的数据,国家,非洲,喀麦隆,,,,,,,12.354722,7.369722
COVID-19_Baidu,2020-05-27 23:59:00,5170,4311,288,833.85,55.71,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,日本,,东京都,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,4848,2852,169,588.28,34.86,0.16,0.01,0.1,11.09,6.53,0.39,输入的数据,国家,亚洲,伊拉克,,,,,,,43.679291,33.223191
COVID-19_Baidu,2020-05-27 23:59:00,4767,3178,405,666.67,84.96,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,意大利,,坎帕尼亚,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,4689,0,157,0.0,33.48,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,美国,,纳瓦霍族,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,4653,3528,50,758.22,10.75,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,美国,,南达科他州,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,4469,2436,494,545.09,110.54,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,意大利,,普利亚,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,4415,3441,461,779.39,104.42,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,意大利,,特伦托,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,4403,2819,52,640.25,11.81,0.53,0.01,0.34,50.84,32.55,0.6,输入的数据,国家,亚洲,阿塞拜疆,,,,,,,47.576927,40.143105
COVID-19_Baidu,2020-05-27 23:59:00,4401,493,188,112.02,42.72,0.55,0.02,0.06,39.26,4.4,1.68,输入的数据,国家,北美洲,洪都拉斯,,,,,,,-86.241905,15.199999
COVID-19_Baidu,2020-05-27 23:59:00,4231,2550,214,602.69,50.58,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,美国,,新罕布什尔州,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,4146,588,184,141.82,44.38,0.12,0.01,0.02,2.23,0.32,0.1,输入的数据,国家,非洲,苏丹,,,,,,,30.217636,12.862807
COVID-19_Baidu,2020-05-27 23:59:00,3995,3783,110,946.93,27.53,8.03,0.22,7.6,1544.86,1462.88,42.54,输入的数据,国家,欧洲,卢森堡,,,,,,,6.129583,49.815273
COVID-19_Baidu,2020-05-27 23:59:00,3967,1894,148,477.44,37.31,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,美国,,俄勒冈州,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,3954,289,63,73.09,15.93,0.29,0.0,0.02,36.31,2.65,0.58,输入的数据,国家,北美洲,危地马拉,,,,,,,-90.230759,15.783471
